"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Image","https://www.minesparis.psl.eu/Ecole/Newsletter/","https://www.minesparis.psl.eu/Donnees/data11/1140-BandeauLettre.jpg","56127","","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='centre']/div[@id='page']/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/WebTV/&?title=Energetique-et-genie-des-procedes&cat=PLC98162CE2F1A6A60","https://i.ytimg.com/vi/a9gjTddNsDs/hqdefault.jpg","14603","Vidéo","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='gauche']/div[@id='page']/div/div/div/div[@class='panneau'][3]/div[@class='video'][7]/div/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/Actualites/&?id=5738","https://images.theconversation.com/files/488298/original/file-20221005-18-4mouj2.jpg?ixlib=rb-1.1.0&q=45&auto=format&w=237&fit=clip","19882","","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='centre']/div[@id='page']/figure[2]/a/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/Formation/Masteres-Specialises/Masteres-Specialises-temps-plein/Expert-en-prevention-des-Risques-et-en-gestion-des-Crises-dans-l-industrie/","https://www.minesparis.psl.eu/Donnees/data37/3786-Site-EI-cole-MRI.jpg","506751","","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='centre']/div[@id='page']/p[1]/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/WebTV//&?titre=&cat=PLULJFHqe2ObgdrafPUauGqvitsGPAKFPz","https://i.ytimg.com/vi/piHL1w8-Xs8/hqdefault.jpg","12064","Vidéo","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='gauche']/div[@id='page']/div/div/div/div[@class='panneau'][3]/div[@class='video'][9]/div/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/WebTV/&?title=formation&cat=PLULJFHqe2ObgdrafPUauGqvitsGPAKFPz","https://i.ytimg.com/vi/piHL1w8-Xs8/hqdefault.jpg","12064","Vidéo","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='gauche']/div[@id='page']/div/div/div/div[@class='panneau'][3]/div[@class='video'][9]/div/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/Formation/Doctorat/Associations-de-doctorants-et-docteurs/","https://www.minesparis.psl.eu/Donnees/data10/1094-303-6.-Associations-Dopamines-.jpg","124240","","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='centre']/div[@id='page']/h5[1]/a/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/WebTV/&?title=energetique_procedes&cat=PL05E52B8267A4913D","https://i.ytimg.com/vi/TYTEJnzGmZ8/hqdefault.jpg","20708","Vidéo","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='gauche']/div[@id='page']/div/div/div/div[@class='panneau'][3]/div[@class='video'][4]/div/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/WebTV//&?titre=&cat=PL05E52B8267A4913D","https://i.ytimg.com/vi/TYTEJnzGmZ8/hqdefault.jpg","20708","Vidéo","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='gauche']/div[@id='page']/div/div/div/div[@class='panneau'][3]/div[@class='video'][4]/div/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/Ecole/Entrepreneuriat/En-bref/","https://www.minesparis.psl.eu/Donnees/data27/2754-CRITEO-BDEF.jpg","132621","Criteo, start-up créée par deux anciens élèves de Mines Paris - PSL.","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='centre']/div[@id='page']/img","Contenu","HTML"
